ID,site,lat,lon,primary_veg_type,secondary_veg_type,IGBPname
1,acadia,44.37694444,-68.26083333,DB,EN,MF
2,ahwahnee,37.7467,-119.5816,EN,GR,WSA
3,alligatorriver,35.7879,-75.9038,DB,WL,MF
4,arbutuslake,43.98207,-74.23322,DB,EN,DBF
5,armoklahoma,36.6058,-97.4888,AG,"",CRO
6,asa,57.16449,14.7825,DB,GR,MF
7,ashburnham,42.6029,-71.926,DB,EN,MF
8,barrocolorado,9.154,-79.848,EB,"",EBF
9,barrow,71.28007453,-156.6091492,TN,"",GRA
10,bartlett,44.0646,-71.2881,DB,EN,MF
11,bartlettir,44.0646,-71.2881,DB,EN,MF
12,bitterootvalley,46.507,-114.091,DB,"",URB
13,bostoncommon,42.355912,-71.064145,DB,"",URB
14,bostonu,42.35041,-71.10438,DB,"",URB
15,boundarywaters,47.946702,-91.495506,DB,EN,MF
16,bullshoals,36.562833,-93.06663,DB,GR,DBF
17,burnssagebrush,43.4712,-119.6909,SH,"",GRA
18,butte,45.95304,-112.47964,GR,SH,GRA
19,canadaOA,53.62889,-106.19779,DB,"",MF
20,canadaOBS,53.98717,-105.11779,EN,DN,ENF
21,caryinstitute,41.7839,-73.7341,DB,"",DBF
22,cedarcreek,45.4019,-93.2042,DB,"",CNV
23,chibougamau,49.6924,-74.342,EN,"",ENF
24,coaloilpoint,34.413695,-119.880226,GR,SH,OSH
25,columbiamissouri,38.7441,-92.1997,DB,EN,DBF
26,contactcreek,58.2076,-155.9225,TN,SH,OSH
27,coville,58.8025,-155.5629,TN,"",OSH
28,coweeta,35.05959,-83.42798,DB,"",MF
29,dollysods,39.099529,-79.427041,DB,"",DBF
30,downerwoods,43.07938,-87.88076,DB,"",URB
31,drippingsprings,33.3,-116.8,DB,SH,WSA
32,dukehw,35.973583,-79.100371,DB,"",MF
33,eastend,38.10273,-121.641318,WL,"",CRO
34,farewellgap,36.453,-118.59,EN,DB,WSA
35,freemangrass,29.93,-98.01,GR,DB,SAV
36,freemanwood,29.94,-97.99,DB,EN,WSA
37,gatesofthemountains,46.8262,-111.7107,EN,GR,ENF
38,gcesapelo,31.4440444,-81.283528,WL,"",WET
39,grandcanyon,36.06,-112.1175,NV,SH,ENF
40,groundhog,48.2174,-82.1555,EN,DB,MF
41,harvard,42.5378,-72.1715,DB,EN,MF
42,harvardbarn,42.53532,-72.1899,EN,DB,MF
43,harvardbarn2,42.53532,-72.1899,DB,EN,MF
44,harvardblo,42.5378,-72.1715,DB,EN,MF
45,harvardhemlock,42.539,-72.18,EN,DB,MF
46,harvardlph,42.542,-72.185,DB,EN,MF
47,howland1,45.2041,-68.7403,EN,DB,MF
48,howland2,45.2128,-68.7418,DB,EN,MF
49,hubbardbrook,43.9438,-71.701,DB,"",DBF
50,hubbardbrooknfws,42.958,-71.7762,DB,"",MF
51,hubbardbrooksfws,43.9269,-71.7407,"","",MF
52,ibp,32.589,-106.847,GR,SH,OSH
53,imcrkfen,68.60583,-149.31101,TN,"",OSH
54,imcrkridge0,68.60681,-149.2958,TN,"",OSH
55,imcrkridge1,68.60681,-149.2958,TN,"",OSH
56,imcrktussock,68.60633,-149.30408,TN,"",OSH
57,jasperridge,37.402028,-122.22104,GR,"",WSA
58,jerbajada,32.57992,-106.633793,SH,"",OSH
59,jernort,32.619,-106.788,SH,"",OSH
60,jersand,32.515,-106.798,SH,"",OSH
61,joycekilmer,35.257,-83.795,DB,"",DBF
62,kamuela,20.015008,-155.661326,GR,"",GRA
63,kansas,39.0561,-95.1907,GR,"",CNV
