ID,site,lat,lon,IGBPname
1,AR-SLu,-33.4648,-66.4598,MF
2,AR-Vir,-28.2395,-56.1886,ENF
3,AT-Neu,47.1167,11.3175,GRA
4,AU-Ade,-13.0769,131.1178,WSA
5,AU-ASM,-22.283,133.249,ENF
6,AU-Cpr,-34.0021,140.5891,SAV
7,AU-Cum,-33.6133,150.7225,EBF
8,AU-DaP,-14.0633,131.3181,GRA
9,AU-DaS,-14.1593,131.3881,SAV
10,AU-Dry,-15.2588,132.3706,SAV
11,AU-Emr,-23.8587,148.4746,GRA
12,AU-Fog,-12.5452,131.3072,WET
13,AU-Gin,-31.3764,115.7138,WSA
14,AU-GWW,-30.1913,120.6541,SAV
15,AU-How,-12.4943,131.1523,WSA
16,AU-Lox,-34.4704,140.6551,DBF
17,AU-RDF,-14.5636,132.4776,WSA
18,AU-Rig,-36.6499,145.5759,GRA
19,AU-Rob,-17.1175,145.6301,EBF
20,AU-Stp,-17.1507,133.3502,GRA
21,AU-TTE,-22.287,133.64,OSH
22,AU-Tum,-35.6566,148.1517,EBF
23,AU-Wac,-37.4259,145.1878,EBF
24,AU-Whr,-36.6732,145.0294,EBF
25,AU-Wom,-37.4222,144.0944,EBF
26,AU-Ync,-34.9893,146.2907,GRA
27,BE-Bra,51.3092,4.5206,MF
28,BE-Lon,50.5516,4.7461,CRO
29,BE-Vie,50.3051,5.9981,MF
30,BR-Sa3,-3.018,-54.9714,EBF
31,CA-Man,55.8796,-98.4808,ENF
32,CA-NS1,55.8792,-98.4839,ENF
33,CA-NS2,55.9058,-98.5247,ENF
34,CA-NS3,55.9117,-98.3822,ENF
35,CA-NS4,55.9117,-98.3822,ENF
36,CA-NS5,55.8631,-98.485,ENF
37,CA-NS6,55.9167,-98.9644,OSH
38,CA-NS7,56.6358,-99.9483,OSH
39,CA-Qfo,49.6925,-74.3421,ENF
40,CA-SF1,54.485,-105.8176,ENF
41,CA-SF2,54.2539,-105.8775,ENF
42,CA-SF3,54.0916,-106.0053,OSH
43,CH-Cha,47.2102,8.4104,GRA
44,CH-Dav,46.8153,9.8559,ENF
45,CH-Fru,47.1158,8.5378,GRA
46,CH-Lae,47.4781,8.365,MF
47,CH-Oe1,47.2858,7.7319,GRA
48,CH-Oe2,47.2863,7.7343,CRO
49,CN-Cha,42.4025,128.0958,MF
50,CN-Cng,44.5934,123.5092,GRA
51,CN-Dan,30.4978,91.0664,GRA
52,CN-Din,23.1733,112.5361,EBF
53,CN-Du2,42.0467,116.2836,GRA
54,CN-Ha2,37.6086,101.3269,WET
55,CN-HaM,37.37,101.18,GRA
56,CN-Qia,26.7414,115.0581,ENF
57,CN-Sw2,41.7902,111.8971,GRA
58,CZ-BK1,49.5021,18.5369,ENF
59,CZ-BK2,49.4944,18.5429,GRA
60,CZ-wet,49.0247,14.7704,WET
61,DE-Akm,53.8662,13.6834,WET
62,DE-Geb,51.1001,10.9143,CRO
63,DE-Gri,50.9495,13.5125,GRA
64,DE-Hai,51.0792,10.453,DBF
65,DE-Kli,50.8929,13.5225,CRO
66,DE-Lkb,49.0996,13.3047,ENF
67,DE-Obe,50.7836,13.7196,ENF
68,DE-RuR,50.6219,6.3041,GRA
69,DE-RuS,50.8659,6.4472,CRO
70,DE-Seh,50.8706,6.4497,CRO
71,DE-SfN,47.8064,11.3275,WET
72,DE-Spw,51.8923,14.0337,WET
73,DE-Tha,50.9636,13.5669,ENF
74,DK-Fou,56.4842,9.5872,CRO
75,DK-NuF,64.1308,-51.3861,WET
76,DK-Sor,55.4859,11.6446,DBF
77,DK-ZaF,74.4814,-20.5545,WET
78,DK-ZaH,74.4732,-20.5503,GRA
79,ES-LgS,37.0979,-2.9658,OSH
80,ES-Ln2,36.9695,-3.4758,OSH
81,FI-Hyy,61.8475,24.295,ENF
82,FI-Jok,60.8986,23.5135,CRO
83,FI-Lom,67.9972,24.2092,WET
84,FI-Sod,67.3619,26.6378,ENF
85,FR-Fon,48.4764,2.7801,DBF
86,FR-Gri,48.8442,1.9519,CRO
87,FR-LBr,44.7171,-0.7693,ENF
88,FR-Pue,43.7414,3.5958,EBF
89,GF-Guy,5.2788,-52.9249,EBF
90,IT-BCi,40.5238,14.9574,CRO
91,IT-CA1,42.3804,12.0266,DBF
92,IT-CA2,42.3772,12.026,CRO
93,IT-CA3,42.38,12.0222,DBF
94,IT-Col,41.8494,13.5881,DBF
95,IT-Cp2,41.7043,12.3573,EBF
96,IT-Cpz,41.7052,12.3761,EBF
97,IT-Isp,45.8126,8.6336,DBF
98,IT-La2,45.9542,11.2853,ENF
99,IT-Lav,45.9562,11.2813,ENF
100,IT-MBo,46.0147,11.0458,GRA
101,IT-Noe,40.6061,8.1515,CSH
102,IT-PT1,45.2009,9.061,DBF
103,IT-Ren,46.5869,11.4337,ENF
104,IT-Ro1,42.4081,11.93,DBF
105,IT-Ro2,42.3903,11.9209,DBF
106,IT-SR2,43.732,10.291,ENF
107,IT-SRo,43.7279,10.2844,ENF
108,IT-Tor,45.8444,7.5781,GRA
109,JP-MBF,44.3869,142.3186,DBF
110,JP-SMF,35.2617,137.0788,MF
111,NL-Hor,52.2404,5.0713,GRA
112,NL-Loo,52.1666,5.7436,ENF
113,NO-Adv,78.186,15.923,WET
114,NO-Blv,78.9216,11.8311,SNO
115,RU-Che,68.613,161.3414,WET
116,RU-Cok,70.8291,147.4943,OSH
117,RU-Fyo,56.4615,32.9221,ENF
118,RU-Ha1,54.7252,90.0022,GRA
119,SD-Dem,13.2829,30.4783,SAV
120,SN-Dhr,15.4028,-15.4322,SAV
121,US-AR1,36.4267,-99.42,GRA
122,US-AR2,36.6358,-99.5975,GRA
123,US-ARb,35.5497,-98.0402,GRA
124,US-ARc,35.5465,-98.04,GRA
125,US-ARM,36.6058,-97.4888,CRO
126,US-Blo,38.8953,-120.6328,ENF
